Address: 0x00000708, Set: 0x4, Miss, Tag: 0x000003
Address: 0x00000005, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00000200, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00000507, Set: 0x4, Miss, Tag: 0x000002
Address: 0x00000386, Set: 0x6, Miss, Tag: 0x000001
Address: 0x00000403, Set: 0x0, Miss, Tag: 0x000002
Address: 0x00000025, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00000890, Set: 0x2, Miss, Tag: 0x000004
Address: 0x00000641, Set: 0x1, Miss, Tag: 0x000003
Address: 0x00000548, Set: 0x5, Miss, Tag: 0x000002
Address: 0x00000286, Set: 0x2, Miss, Tag: 0x000001
Address: 0x00000479, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000256, Set: 0x1, Miss, Tag: 0x000001
Address: 0x00000134, Set: 0x4, Miss, Tag: 0x000000
Address: 0x00000671, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000079, Set: 0x1, Miss, Tag: 0x000000
Address: 0x00000188, Set: 0x6, Miss, Tag: 0x000000
Address: 0x00000311, Set: 0x4, Miss, Tag: 0x000001
Address: 0x00000354, Set: 0x5, Miss, Tag: 0x000001
Address: 0x00000895, Set: 0x2, Miss, Tag: 0x000004
Address: 0x00000062, Set: 0x1, Miss, Tag: 0x000000
Address: 0x00000166, Set: 0x5, Miss, Tag: 0x000000
Address: 0x00000676, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000034, Set: 0x0, Hit, Tag: 0x000000
Address: 0x00000577, Set: 0x5, Miss, Tag: 0x000002
Address: 0x00000134, Set: 0x4, Miss, Tag: 0x000000
Address: 0x00000940, Set: 0x5, Miss, Tag: 0x000004
Address: 0x00000990, Set: 0x6, Miss, Tag: 0x000004
Address: 0x00000718, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000858, Set: 0x1, Miss, Tag: 0x000004
Address: 0x00000913, Set: 0x4, Miss, Tag: 0x000004
Address: 0x00000402, Set: 0x0, Miss, Tag: 0x000002
Address: 0x00000864, Set: 0x1, Miss, Tag: 0x000004
Address: 0x00000089, Set: 0x2, Miss, Tag: 0x000000
Address: 0x00000910, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000226, Set: 0x0, Hit, Tag: 0x000001
Address: 0x00000492, Set: 0x2, Miss, Tag: 0x000002
Address: 0x00000935, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000093, Set: 0x2, Miss, Tag: 0x000000
Address: 0x00000110, Set: 0x4, Miss, Tag: 0x000000
Address: 0x00000459, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000379, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000589, Set: 0x6, Miss, Tag: 0x000002
Address: 0x00000715, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000513, Set: 0x4, Miss, Tag: 0x000002
Address: 0x00000237, Set: 0x0, Hit, Tag: 0x000001
Address: 0x00000794, Set: 0x6, Miss, Tag: 0x000003
Address: 0x00000701, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000548, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000125, Set: 0x4, Miss, Tag: 0x000000
Address: 0x00000572, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000611, Set: 0x0, Miss, Tag: 0x000003
Address: 0x00000291, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000224, Set: 0x0, Hit, Tag: 0x000001
Address: 0x00000645, Set: 0x1, Miss, Tag: 0x000003
Address: 0x00000868, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000358, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000562, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000835, Set: 0x0, Miss, Tag: 0x000004
Address: 0x00000053, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000396, Set: 0x6, Hit, Tag: 0x000001
Address: 0x00000724, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000455, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000236, Set: 0x0, Hit, Tag: 0x000001
