Address: 0x00001234, Set: 0x4, Miss, Tag: 0x000004
Address: 0x00005678, Set: 0x4, Miss, Tag: 0x000015
Address: 0x00009abc, Set: 0x5, Miss, Tag: 0x000026
Address: 0x0000deff, Set: 0x5, Miss, Tag: 0x000037
Address: 0x00001234, Set: 0x4, Miss, Tag: 0x000004
Address: 0x00009abc, Set: 0x5, Miss, Tag: 0x000026
Address: 0x00005678, Set: 0x4, Hit, Tag: 0x000015
Address: 0x0000deff, Set: 0x5, Hit, Tag: 0x000037
Address: 0x00001234, Set: 0x4, Miss, Tag: 0x000004
Address: 0x0000deff, Set: 0x5, Hit, Tag: 0x000037
Address: 0x00009abc, Set: 0x5, Hit, Tag: 0x000026
Address: 0x00005678, Set: 0x4, Hit, Tag: 0x000015
