Address: 0x00001234, Set: 0x2, Miss, Tag: 0x000002
Address: 0x00005678, Set: 0x6, Miss, Tag: 0x00000a
Address: 0x00009abc, Set: 0x2, Miss, Tag: 0x000013
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x00001b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x000013
Address: 0x00005678, Set: 0x6, Miss, Tag: 0x00000a
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x00001b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x000013
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x00001b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00005678, Set: 0x6, Hit, Tag: 0x00000a
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x000013
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00005678, Set: 0x6, Hit, Tag: 0x00000a
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x000013
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x00001b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00005678, Set: 0x6, Hit, Tag: 0x00000a
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x000013
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x00001b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x000013
Address: 0x00005678, Set: 0x6, Hit, Tag: 0x00000a
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x00001b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x000002
