Address: 0x00001234, Set: 0x1, Miss, Tag: 0x00001
Address: 0x00005678, Set: 0x3, Miss, Tag: 0x00005
Address: 0x00001234, Set: 0x1, Hit, Tag: 0x00001
Address: 0x00009abc, Set: 0x5, Miss, Tag: 0x00009
Address: 0x00005678, Set: 0x3, Hit, Tag: 0x00005
Address: 0x00001234, Set: 0x1, Hit, Tag: 0x00001
Address: 0x00009abc, Set: 0x5, Hit, Tag: 0x00009
Address: 0x0000deff, Set: 0x7, Miss, Tag: 0x0000d
Address: 0x0000deff, Set: 0x7, Hit, Tag: 0x0000d
Address: 0x00001234, Set: 0x1, Hit, Tag: 0x00001
Address: 0x00009abc, Set: 0x5, Hit, Tag: 0x00009
Address: 0x00005678, Set: 0x3, Hit, Tag: 0x00005
